zipcode,SQMI,x,y,Pct_EV,Cport_den,Sex_ratio,Pct_30_60,Pct_60,Pct_bachelor,Med_incm_family,Ln_pop_den,Pking_den,Num_veh_hd,Num_wk_hd,Road_den,Pct_white,ev_cnt,FuelV_cnt,CS_cnt,CPort_cnt,FuelS_cnt,Pop,Pop_male,Pop_female,num_bachelor,pk_SQMI_cnt,pk_SQMI_sum,len_mile_cnt,len_mile_sum,year
60190,4.309415,-88.15675036,41.87100175,7.029478458,4.499730356,102.8,41.4,27.4,45.2154598,145064,7.867766,0.585718,2.062,1.3549,13.776956,89.81,62,820,,,2,11255,5706,5549,5089,27,0.025241,276,59.370621,2020
60191,5.156905,-87.98030063,41.96304652,2.417582418,4.499730356,106.5,38,24.3,18.38677355,88077,7.904474,0.425081,1.9094,1.3252,13.766345,75.26,33,1332,,,2,13972,7206,6766,2569,23,0.021921,379,70.991732,2020
60192,7.686758,-88.16680258,42.07580678,7.381889764,4.499730356,106,43.7,24.1,45.12741708,134562,7.61668,3.129941,2.0512,1.3568,12.715982,60.72,75,941,,,1,15618,8037,7581,7048,92,0.240591,496,97.744673,2020
60193,9.294651,-88.09520767,42.01166671,4.080908446,4.499730356,96.3,41.8,23.9,31.01789939,97134,8.338899,1.714126,1.7933,1.257,16.579731,72.03,115,2703,,,3,38884,19078,19806,12061,82,0.159322,956,154.102815,2020
60194,3.626465,-88.11178422,42.03379217,4.515599343,4.499730356,93.9,43.6,22.1,33.82520451,98537,8.580327,2.078526,1.6536,1.2667,24.099024,53.88,55,1163,,,1,19314,9355,9959,6533,51,0.075377,486,87.394267,2020
60195,2.389813,-88.09139163,42.06950256,0.82815735,4.499730356,78.4,46,14.2,56.51524845,93354,7.581759,1.481413,1.2866,1.2469,15.447663,35.21,4,479,,,0,4689,2061,2628,2650,18,0.035403,116,36.917027,2020
60196,0.225509,-88.05238778,42.06568272,0.371747212,4.499730356,100.8600113,40.4,21.3,27.78634765,105872.56,8.013352657,10.087846,1.718985236,1.238925099,7.753314,66.35516403,1,268,,,0,,,,,7,0.022749,4,1.748442,2020
60201,4.513856,-87.69854673,42.05676084,14.20454546,2.658480909,93.6,28.8,23.2,45.21818973,149054,9.123546,1.875315,1.2537,1.04,21.894266,67.64,225,1359,6,12,3,41386,20013,21373,18714,69,0.084649,580,98.827564,2020
60202,3.130048,-87.6896899,42.03044995,12.34662577,3.194839185,88.8,43.9,20.3,46.5376001,110048,9.250804,2.896345,1.3136,1.2985,18.48534,60.91,161,1143,6,10,8,32593,15330,17263,15168,79,0.090657,295,57.860003,2020
60203,0.676469,-87.71742841,42.04897398,12.39669422,4.499730356,80.2,35.3,28.3,50.96516008,138594,8.745072,0.925689,1.8461,1.3007,26.420321,78.04,30,212,,,1,4248,1891,2357,2165,8,0.006262,85,17.872528,2020
